IDBASE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLEFRANCAIS;GENRE;ESPECE;VARIETEOUCULTIVAR;CIRCONFERENCEENCM;HAUTEUR (m);STADEDEVELOPPEMENT;REMARQUABLE;geo_point_2d
123702.0;Arbre;Jardin;PARIS 12E ARRDT;;;SQUARE CHARLES PEGUY;00000146;Epicéa;Picea;pungens f. Glauca;;75.0;7.0;;;48.8392469076, 2.40717476483
2015708.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320017;Epicéa;Picea;abies;;0.0;0.0;;0;48.83583009, 2.44419102554
186304.0;Arbre;DASCO;PARIS 13E ARRDT;;;ECOLE MATERNELLE / 13 RUE LAHIRE;057502006;Epicéa;Picea;abies;;70.0;8.0;J;0;48.8291838513, 2.3668181387
200583.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320010;Epicéa;Picea;pungens;;125.0;10.0;A;0;48.8382520995, 2.41122117457
160467.0;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE SAINT-OUEN NOUV / DIV 11;D00000011001;Epicéa;Picea;abies;;60.0;8.0;;;48.9069631642, 2.34915499155
197769.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320007;Epicéa;Picea;pungens;;75.0;10.0;JA;0;48.8381610392, 2.41096542391
105923.0;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DE CHOISY;00000313;Epicéa;Picea;pungens f. Glauca;;120.0;17.0;;;48.8281755297, 2.35861398864
187710.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 35 AVENUE EMILE ZOLA;070801006;Epicéa;Picea;abies;;30.0;6.0;J;0;48.846530497, 2.28171736952
112195.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230020;Epicéa;Picea;n. sp.;;16.0;3.0;;;48.8805716989, 2.3858671786
2015472.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00230118;Epicéa;Picea;abies;;0.0;0.0;;0;48.8379257552, 2.44413224735
112568.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;J0450021;Epicéa;Picea;omorika;;90.0;15.0;;;48.8795996611, 2.38356476029
200584.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320011;Epicéa;Picea;pungens;;70.0;5.0;JA;0;48.8382168447, 2.4113381434
139238.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000101019;Epicéa;Picea;abies;;125.0;18.0;A;0;48.8357341147, 2.25535456919
2024280.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480624;Epicéa;Picea;schrenkiana;;0.0;0.0;;0;48.8211076767, 2.45686977871
2024258.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480621;Epicéa;Picea;koyamai;;0.0;0.0;;0;48.8212385659, 2.45676171673
2024267.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719861321;Epicéa;Picea;obovata;;0.0;0.0;;0;48.8214748591, 2.45687889289
2024264.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801130;Epicéa;Picea;abies;;0.0;0.0;;0;48.8214493532, 2.45677004885
191214.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE MORILLONS;073010014;Epicéa;Picea;abies;;40.0;6.0;J;0;48.8320952637, 2.30122812309
186807.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE ELEMENTAIRE B / 81 RUE MADEMOISELLE;117101005;Epicéa;Picea;abies;;55.0;5.0;J;0;48.8440764672, 2.30016924755
160480.0;Arbre;CIMETIERE;VAL-DE-MARNE;;;CIMETIERE D'IVRY / DIV 20;D00000020002;Epicéa;Picea;abies;;40.0;8.0;J;0;48.8112362021, 2.36672312003
136424.0;Arbre;Jardin;PARIS 16E ARRDT;;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00070038;Epicéa;Picea;abies;;20.0;0.0;;;48.8457981726, 2.25094381755
2024257.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480625;Epicéa;Picea;smithiana;;0.0;0.0;;0;48.821219089, 2.45680405971
116505.0;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE EMMANUEL FLEURY;00000136;Epicéa;Picea;abies;;92.0;0.0;A;0;48.8694282372, 2.41198061309
2024270.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060133;Epicéa;Picea;glehnii;;0.0;0.0;;0;48.8215719691, 2.45710972132
124540.0;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DESSOUS DES BERGES;00000012;Epicéa;Picea;omorika;;15.0;6.0;;;48.8260420473, 2.37530772517
2024427.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060155;Epicéa;Picea;pungens;;0.0;0.0;;0;48.8213857681, 2.45750510015
2024434.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719801155;Epicéa;Picea;asperata;;0.0;0.0;;0;48.8215843634, 2.45769464034
197764.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320003;Epicéa;Picea;pungens;;70.0;5.0;JA;0;48.8381906588, 2.41069409948
191668.0;Arbre;PERIPHERIQUE;PARIS 17E ARRDT;;;TALUS N°20-00;092000024;Epicéa;Picea;abies;;55.0;6.0;A;0;48.9007805058, 2.32371638402
200534.0;Arbre;DJS;PARIS 12E ARRDT;;;TEP LOUIS BRAILLE / 24 RUE LOUIS BRAILLE;00280013;Epicéa;Picea;n. sp.;;45.0;8.0;J;0;48.8392589348, 2.40279079708
191109.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 35 AVENUE EMILE ZOLA;070801004;Epicéa;Picea;abies;;35.0;7.0;J;0;48.8465563431, 2.28162123057
2024272.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060131;Epicéa;Picea;breweriana;;0.0;0.0;;0;48.821398203, 2.4570070109
191274.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE MORILLONS;073010011;Epicéa;Picea;abies;;20.0;4.0;J;0;48.8320636577, 2.30122933689
2024289.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060134;Epicéa;Picea;omorika;;0.0;0.0;;0;48.8214038614, 2.45713804424
112173.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230021;Epicéa;Picea;n. sp.;;20.0;3.0;;;48.8805508424, 2.38588099191
114124.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 05 - 54 à 68;;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000404075;Epicéa;Picea;pungens;;20.0;2.0;J;0;48.8726350464, 2.28052306356
139252.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102003;Epicéa;Picea;abies;;90.0;15.0;A;0;48.8355006785, 2.25495696497
189910.0;Arbre;DASCO;PARIS 20E ARRDT;;;ALQUIER DEBROUSSE (12) MAT;99980007;Epicéa;Picea;n. sp.;;70.0;9.0;J;0;48.8609172172, 2.40872057829
160463.0;Arbre;CIMETIERE;PARIS 20E ARRDT;;;CIMETIERE DU PERE LACHAISE / DIV 89;D00000089007;Epicéa;Picea;abies;;70.0;10.0;A;0;48.8617692793, 2.39761174595
160482.0;Arbre;CIMETIERE;VAL-DE-MARNE;;;CIMETIERE D'IVRY / DIV 21;D00000021001;Epicéa;Picea;abies;;50.0;8.0;J;0;48.8108361476, 2.36698832768
2015707.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320016;Epicéa;Picea;abies;;0.0;0.0;;0;48.8358359874, 2.44420600329
2024277.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480619;Epicéa;Picea;wilsonii;;0.0;0.0;;0;48.8211879109, 2.45697504212
112170.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230025;Epicéa;Picea;abies;;20.0;3.0;;;48.8805200379, 2.3859278523
2024262.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480635;Epicéa;Picea;orientalis;;0.0;0.0;;0;48.821299186, 2.4567701969
160464.0;Arbre;CIMETIERE;PARIS 20E ARRDT;;;CIMETIERE DU PERE LACHAISE / DIV 94;D00000094002;Epicéa;Picea;abies;;110.0;10.0;A;0;48.8605706646, 2.39941422556
2022257.0;Arbre;Jardin;PARIS 14E ARRDT;03 - Le côteau du Bardo / Grande pelouse;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;002602005;Epicéa;Picea;orientalis;;41.0;5.0;JA;0;48.8224674285, 2.33670248027
111622.0;Arbre;Jardin;PARIS 19E ARRDT;;;PARC DES BUTTES CHAUMONT;E0230026;Epicéa;Picea;abies;;20.0;3.0;;;48.8805164391, 2.38596087907
2012738.0;Arbre;Jardin;BOIS DE VINCENNES;;;INSEP / AVENUE DU TREMBLAY;00100004;Epicéa;Picea;abies;;120.0;13.0;JA;0;48.834327939, 2.45061238036
2024259.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480633;Epicéa;Picea;orientalis;;0.0;0.0;;0;48.8212637751, 2.45672406735
2024429.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480793;Epicéa;Picea;pungens;;0.0;0.0;;0;48.821556039, 2.45739853617
2015705.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320014;Epicéa;Picea;abies;;40.0;14.0;A;0;48.8358736717, 2.44418689604
191275.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 40 RUE MORILLONS;073010012;Epicéa;Picea;abies;;20.0;6.0;J;0;48.8320759631, 2.30123581996
2015711.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320021;Epicéa;Picea;abies;;105.0;17.0;A;0;48.8358198559, 2.44424148808
160476.0;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 141;D00000141001;Epicéa;Picea;abies;;40.0;3.0;;;48.9015517186, 2.41237340187
188410.0;Arbre;DASCO;PARIS 13E ARRDT;;;ECOLE MATERNELLE / 17 RUE POINTE D IVRY;060802018;Epicéa;Picea;abies;;45.0;7.0;J;0;48.8222124479, 2.36368208788
2015714.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320024;Epicéa;Picea;abies;;45.0;14.0;A;0;48.8357948707, 2.44422191829
139254.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102005;Epicéa;Picea;abies;;60.0;8.0;JA;0;48.8355711688, 2.25491895475
139251.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102002;Epicéa;Picea;abies;;80.0;12.0;A;0;48.8354574809, 2.25498288205
2015704.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320013;Epicéa;Picea;abies;;75.0;16.0;A;0;48.8358776331, 2.44417618639
201563.0;Arbre;DJS;PARIS 16E ARRDT;;;STADE FRANCAIS OMNISPORTS GEO ANDRE / 2 RUE DU COMMANDANT GUILBAUD;01140057;Epicéa;Picea;abies;;110.0;7.0;A;0;48.8391242765, 2.25238408589
160481.0;Arbre;CIMETIERE;VAL-DE-MARNE;;;CIMETIERE D'IVRY / DIV 20;D00000020003;Epicéa;Picea;abies;;45.0;8.0;J;0;48.8112244065, 2.36668318716
136350.0;Arbre;Jardin;PARIS 16E ARRDT;;;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;00040066;Epicéa;Picea;pungens;;101.0;0.0;;;48.8464345435, 2.25297254599
188367.0;Arbre;DASCO;PARIS 20E ARRDT;;;VITRUVE (61) MAT;07981003;Epicéa;Picea;n. sp.;;105.0;10.0;JA;0;48.8595732564, 2.40692125319
2011493.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00150036;Epicéa;Picea;abies;;80.0;8.0;A;0;48.8392267518, 2.44201587108
2023865.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720000040;Epicéa;Picea;wilsonii;;0.0;0.0;;0;48.8208899948, 2.45584942757
160465.0;Arbre;CIMETIERE;PARIS 18E ARRDT;;;CIMETIERE DE MONTMARTRE / DIV 27;D00000027005;Epicéa;Picea;abies;;115.0;10.0;A;0;48.8871752886, 2.33077651036
190994.0;Arbre;DASCO;PARIS 13E ARRDT;;;DUNOIS (71) MAT;08140018;Epicéa;Picea;abies;;55.0;8.0;J;0;48.8324058121, 2.36579485287
190717.0;Arbre;DASCO;PARIS 19E ARRDT;;;ECOLE MATERNELLE / 41 RUE TANGER;073402020;Epicéa;Picea;abies;;60.0;10.0;J;0;48.8884230242, 2.3690623183
2024282.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480721;Epicéa;Picea;omorika;;0.0;0.0;;0;48.8212711769, 2.45717757514
116503.0;Arbre;Jardin;PARIS 20E ARRDT;;;SQUARE EMMANUEL FLEURY;00000134;Epicéa;Picea;abies;;73.0;0.0;A;0;48.8694520634, 2.41210933573
124541.0;Arbre;Jardin;PARIS 13E ARRDT;;;SQUARE DESSOUS DES BERGES;00000013;Epicéa;Picea;omorika;;49.0;10.0;;;48.8260720532, 2.37532203578
160469.0;Arbre;CIMETIERE;PARIS 14E ARRDT;;;CIMETIERE DE MONTPARNASSE GRAND / DIV 10;D00000010006;Epicéa;Picea;abies;;115.0;15.0;;;48.8372547328, 2.32625731849
139248.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000101029;Epicéa;Picea;abies;;65.0;10.0;JA;0;48.8354325988, 2.2551827737
188059.0;Arbre;DFPE;PARIS 5E ARRDT;;;CRECHE COLLECTIVE / 11 RUE CENSIER;196901002;Epicéa;Picea;abies;;60.0;8.0;J;0;48.840739453, 2.35480719581
2012213.0;Arbre;Jardin;BOIS DE VINCENNES;;;INSEP / AVENUE DU TREMBLAY;00030010;Epicéa;Picea;abies;;70.0;18.0;A;0;48.8327734808, 2.45527402581
2015709.0;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00320018;Epicéa;Picea;abies;;0.0;0.0;;0;48.8358213048, 2.44418942987
2024271.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480730;Epicéa;Picea;likiangensis;;0.0;0.0;;0;48.8214862212, 2.45705184385
125804.0;Arbre;Jardin;PARIS 15E ARRDT;;;JARDIN DE L'ATLANTIQUE;00000035;Epicéa;Picea;pungens;;100.0;0.0;;;48.8392154131, 2.31837590871
160475.0;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 167;D00000167032;Epicéa;Picea;abies;;90.0;9.0;;;48.9065978746, 2.39871927283
2008139.0;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE DES BATIGNOLLES;00000227;Epicéa;Picea;pungens f. Glauca;;20.0;4.0;J;0;48.887126201, 2.3164669722
197766.0;Arbre;DJS;PARIS 12E ARRDT;;;CENTRE SPORTIF PAUL VALERY / 15 RUE DE LA NOUVELLE CALEDONIE;00320006;Epicéa;Picea;pungens;;150.0;10.0;A;0;48.8381865311, 2.41082744746
2024261.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480636;Epicéa;Picea;orientalis;;0.0;0.0;;0;48.821304181, 2.45676303524
2024268.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480727;Epicéa;Picea;abies;;0.0;0.0;;0;48.821496888, 2.45690930843
110469.0;Arbre;Jardin;PARIS 14E ARRDT;05 - Les voies férrées / Ravin - Petite ceinture;;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;001701010;Epicéa;Picea;abies;;28.0;5.0;A;0;48.8212424748, 2.33979726608
139255.0;Arbre;Jardin;PARIS 16E ARRDT;;;SQUARE ROGER COQUOIN / 14 AVENUE FERDINAND BUISSON;000102006;Epicéa;Picea;abies;;60.0;9.0;JA;0;48.835606386, 2.25487237508
198038.0;Arbre;DJS;PARIS 13E ARRDT;;;CENTRE SPORTIF GEORGES CARPENTIER / 81 BOULEVARD MASSENA;00010432;Epicéa;Picea;n. sp.;;75.0;10.0;JA;0;48.8205058405, 2.36768314153
191120.0;Arbre;DASCO;PARIS 15E ARRDT;;;ECOLE MATERNELLE / 95 RUE BALARD;084902003;Epicéa;Picea;abies;;85.0;16.0;JA;0;48.8380520076, 2.27916283966
2024181.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060175;Epicéa;Picea;gemmata;;0.0;0.0;;0;48.8213199851, 2.45649038978
2024269.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;720060132;Epicéa;Picea;glehnii;;0.0;0.0;;0;48.8215467758, 2.4569904544
114123.0;Arbre;Jardin;PARIS 16E ARRDT;PELOUSE 05 - 54 à 68;;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;000404077;Epicéa;Picea;pungens;;20.0;2.0;J;0;48.8725925443, 2.28042447982
160477.0;Arbre;CIMETIERE;SEINE-SAINT-DENIS;;;CIMETIERE DE PANTIN / DIV 25;D00000025010;Epicéa;Picea;abies;;160.0;15.0;;;48.9070225285, 2.40567882264
2013939.0;Arbre;Jardin;BOIS DE VINCENNES;;;UCPA / ROUTE DU POLYGONE;31310001;Epicéa;Picea;abies;;35.0;6.0;J;0;48.8347139467, 2.43270091196
2024260.0;Arbre;Jardin;BOIS DE VINCENNES;;;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;719480634;Epicéa;Picea;orientalis;;0.0;0.0;;0;48.8212928202, 2.45674879818
